epoch,time,loss,accuracy,split
0,27.592666149139404,0.5259298651638092,0.8082434856865885,train
1,26.842973709106445,0.43438636752943754,0.8428551522495937,train
2,27.79205083847046,0.4065434022225263,0.8508238695867634,train
3,27.991013288497925,0.3970432487793154,0.8518406430794405,train
4,28.352373600006104,0.3843254180983127,0.857305528406963,train
5,27.996333122253418,0.38802142795296,0.8546667073251877,train
6,27.74751591682434,0.36829871571669054,0.8648061380273065,train
7,28.19363832473755,0.37500155461272205,0.8605409147414996,train
8,28.01576018333435,0.36389076495724154,0.8660776492843875,train
9,27.949739456176758,0.3649972291184553,0.8654767295454284,train
10,28.072993278503418,0.3548772965535747,0.8684464919644349,train
11,27.979940176010132,0.3766907711169375,0.8614967254274092,train
12,27.979867935180664,0.3610681565739939,0.8670291053553637,train
13,27.92835307121277,0.35335955709283345,0.8695242283926155,train
14,28.301828384399414,0.35145654799678155,0.869663572079677,train
15,28.29706859588623,0.35467424935643155,0.8661538528572148,train
16,28.160017490386963,0.35878715139550216,0.8656138960537592,train
17,27.995802402496338,0.3576552452233904,0.8697963839730742,train
18,27.35633683204651,0.34857835079951627,0.8724939908116219,train
19,28.035274267196655,0.3546277408771716,0.8692607816558162,train
0,10.730226039886475,0.37726863979095193,0.8619885139129869,val
1,10.9520742893219,0.39750319502161974,0.8599470566265547,val
2,11.032146692276001,0.36451203806615956,0.865600322958213,val
3,11.067101001739502,0.3410054844378227,0.8741923906096262,val
4,11.021566390991211,0.338364425728369,0.8760992462311558,val
5,10.985727071762085,0.3245330484368693,0.8797783561088331,val
6,10.943815469741821,0.337540686617245,0.8791502154053156,val
7,11.122015237808228,0.3263772042777071,0.8741699567991286,val
8,11.139258623123169,0.347404635618979,0.8709395189381125,val
9,11.052295207977295,0.3430676914040168,0.8733847809197316,val
10,11.141618967056274,0.3609100771908784,0.869010229805606,val
11,11.112159013748169,0.3594058908559569,0.8699748743718593,val
12,11.008894205093384,0.32611746247389806,0.8797783561088331,val
13,10.990721225738525,0.3367181519916908,0.8748653983350975,val
14,11.203657627105713,0.3259145727933352,0.8755384063600895,val
15,11.03859281539917,0.3427309839232783,0.8705581477539024,val
16,11.107191324234009,0.336141369300871,0.8728015075376885,val
17,11.125107288360596,0.33606673133133647,0.8720836324907427,val
18,11.18036413192749,0.3328071208155934,0.8764357500938914,val
19,11.100002527236938,0.3364817425608635,0.8749102656565719,val
