epoch,time,loss,accuracy,split
0,30.475910902023315,0.4258070070916067,0.8382785828788131,train
1,30.51115846633911,0.27799944493509265,0.8976063366585108,train
2,30.227999448776245,0.2302342356860509,0.9135938479884912,train
3,30.40330171585083,0.20186248634485265,0.9263546819563303,train
4,30.46685814857483,0.17637747470249238,0.9354729846795743,train
5,30.620185375213623,0.15942426227419346,0.9399951229085161,train
6,30.74587106704712,0.14033272373640898,0.947822319379893,train
7,31.516568899154663,0.13255870661931615,0.9506549152905689,train
8,31.474290132522583,0.11777989490492748,0.9578136974225548,train
9,30.233371257781982,0.10650834439072927,0.9607834598415613,train
10,29.483775854110718,0.09231305650694871,0.9665226781857451,train
11,29.26714301109314,0.09163501751548801,0.9676657319068909,train
12,29.02431082725525,0.08643772692714273,0.9686084790054716,train
13,28.776509761810303,0.07644063264847387,0.9712451229085161,train
14,28.722196340560913,0.07406917285650856,0.974622030237581,train
15,28.715383768081665,0.07037039838450182,0.9748898313318421,train
16,28.579906225204468,0.06327861166995655,0.9773827770616272,train
17,28.42132306098938,0.06341629697147709,0.9785345397551682,train
18,28.470247268676758,0.06565564937289145,0.9771193304535637,train
19,28.371952056884766,0.056301181290545614,0.9800215982721382,train
0,11.768744468688965,0.27773848971604703,0.8986674442363145,val
1,11.247870683670044,0.2691499109019586,0.9011800070503848,val
2,11.293339252471924,0.26735624606398184,0.9064743360083307,val
3,11.266051054000854,0.2658536209532963,0.9093009691741598,val
4,11.37389612197876,0.26153196424395597,0.9142139266483748,val
5,11.61479663848877,0.29678621093494506,0.9033784995126963,val
6,12.119270324707031,0.2636587769261107,0.9135857859448572,val
7,12.02657175064087,0.2772207104287405,0.9114994616364714,val
8,11.544863224029541,0.29811646428015365,0.9074614140855607,val
9,11.314143657684326,0.31463504389826974,0.9127557430435066,val
10,11.204772233963013,0.2989199632806844,0.9142139266483748,val
11,10.940033674240112,0.31761384643988694,0.9085606603167165,val
12,11.092198133468628,0.3517572640268198,0.9112975591391175,val
13,10.97197437286377,0.38692785086093856,0.9108040201005025,val
14,11.03533148765564,0.38487057633061506,0.9084484924623115,val
15,11.005693435668945,0.38611051823181014,0.9110732231307869,val
16,11.046695232391357,0.37194843592365556,0.9124865397137014,val
17,11.037482023239136,0.38096432314235623,0.9126435748895808,val
18,10.917514085769653,0.3613035151706868,0.9045450465763034,val
19,10.967337131500244,0.3555432121063484,0.9068332733820431,val
