epoch,time,loss,accuracy,split
0,20.780169248580933,0.5767705763004254,0.7735447292708939,train
1,20.937434434890747,0.37929832782459566,0.8563649584871131,train
2,22.127955436706543,0.3501171343527396,0.8681046644760775,train
3,22.010120391845703,0.312016101139668,0.8814032780686414,train
4,21.51698660850525,0.30558334999832426,0.8853201420724264,train
5,22.16410517692566,0.27726159589948457,0.8965242457441326,train
6,21.65117573738098,0.2593278842646283,0.9028687381847373,train
7,21.9260356426239,0.2496273764057113,0.9056381941099146,train
8,22.109742403030396,0.23280984826273332,0.9119151919500874,train
9,22.032824993133545,0.22165642257128113,0.917310405498447,train
10,21.92280387878418,0.21002308198011463,0.9187321465937159,train
11,21.9240939617157,0.20305602967771288,0.924401693030001,train
12,22.369092226028442,0.18626099687721379,0.9298665783575235,train
13,22.607874155044556,0.18436032455197293,0.9288563366585108,train
14,22.13828134536743,0.1689284674352594,0.9361413990189653,train
15,22.16826581954956,0.15647927367532743,0.9408703755354005,train
16,20.91217541694641,0.15660763763245317,0.9397207900205905,train
17,20.683845281600952,0.14091163555252695,0.9478179648936953,train
18,20.71924662590027,0.12984093132209573,0.951739183383678,train
19,20.738956451416016,0.12632997107710167,0.9528887688984882,train
0,8.55503511428833,0.4674187968274457,0.8306039125476051,val
1,8.586111068725586,0.33516266331750544,0.8764806174153659,val
2,9.027632474899292,0.32593945492452114,0.8773555276381909,val
3,8.622771978378296,0.3145484849061798,0.880877602339989,val
4,9.238376379013062,0.3155415264618157,0.8791950824272693,val
5,9.013702154159546,0.29512015447469814,0.8921841350033055,val
6,9.109209775924683,0.31154323466608874,0.8859475949900834,val
7,9.080825328826904,0.28231254609385925,0.8924084710116362,val
8,9.194390535354614,0.30128166854531324,0.8879441852545619,val
9,9.190195083618164,0.29132783212628793,0.8926552405309438,val
10,9.036103248596191,0.34225829136581276,0.8836369346733668,val
11,8.996208906173706,0.28005572269909346,0.8994974874371859,val
12,9.205378770828247,0.3183012410212102,0.8871590093751649,val
13,9.152742147445679,0.2906134361635201,0.8956389088726523,val
14,9.010728120803833,0.30629991945908897,0.8957959440485317,val
15,9.061680793762207,0.3078373046217477,0.902324120603015,val
16,8.419129371643066,0.30746780302675075,0.8972092606314462,val
17,8.698487043380737,0.3298106199907298,0.8946518304959015,val
18,8.895029783248901,0.4090429015045789,0.8780061018526854,val
19,8.756983757019043,0.3245546634323034,0.8994077530937579,val
