epoch,time,loss,accuracy,split
0,18.722398281097412,0.4287791060641826,0.8436084790054716,train
1,18.718907594680786,0.26171764208820547,0.9057056887103466,train
2,18.44848656654358,0.20847377111455406,0.9233936285097192,train
3,18.567074298858643,0.15677248871408517,0.9416128161401522,train
4,18.41454529762268,0.11900984317860838,0.9562634989200864,train
5,18.596383810043335,0.08572131585828623,0.9677985438002881,train
6,18.398736238479614,0.07268525309082258,0.9734746220302376,train
7,18.460392236709595,0.05974812020188636,0.9779292656587473,train
8,18.326786041259766,0.05492309720634979,0.9817089632829373,train
9,18.130506992340088,0.046781466048201804,0.9833266563858378,train
10,18.419036388397217,0.04171740246489624,0.9844740645931812,train
11,18.203284978866577,0.033167804025577355,0.98832343412527,train
12,18.299607276916504,0.04562116656253782,0.9823817319797903,train
13,17.9736168384552,0.03715001315827921,0.986969187630433,train
14,18.34537649154663,0.029016530376559768,0.9895383369330454,train
15,18.340782403945923,0.033446997407642204,0.9892008639308856,train
16,18.169116973876953,0.028358060167980592,0.990280777537797,train
17,18.404433727264404,0.023399514728288627,0.9916916323532039,train
18,18.33942461013794,0.02591809676909823,0.9908207343412527,train
19,18.408856868743896,0.0236653651151655,0.9912257019438445,train
0,7.5636796951293945,0.32204246356259636,0.8845342784071687,val
1,7.664039134979248,0.3941853558972253,0.8660938622963489,val
2,7.412487506866455,0.24238855326220618,0.9173994974874372,val
3,7.29390549659729,0.3124692638933509,0.9020100502512562,val
4,7.4129767417907715,0.47957266938296994,0.8804064968123508,val
5,7.355133533477783,0.389856557132461,0.8881012204304413,val
6,6.820635795593262,0.35984813917110015,0.9023465541139919,val
7,7.324859619140625,0.30730540508956616,0.9085606603167165,val
8,7.224707126617432,0.3467697458606138,0.9180276381909548,val
9,7.172292709350586,0.38984912317995,0.9093009691741598,val
10,7.130096435546875,0.3605450372464356,0.9156272432312893,val
11,7.020919561386108,0.6732022091442129,0.8382537688442211,val
12,6.736457109451294,0.30820134839735663,0.9119032663316583,val
13,7.312198162078857,0.47813382104095353,0.9043431443784704,val
14,7.3424177169799805,0.6606322959692559,0.876861988599576,val
15,7.011996746063232,0.3967724946133287,0.9167264894624452,val
16,7.292989015579224,0.5082246689675797,0.9052629216232492,val
17,7.271808385848999,0.43792346408403476,0.9146850321760129,val
18,7.249522924423218,0.4384220807097066,0.9087176954925958,val
19,7.329291343688965,0.4209078789747732,0.9133165829145728,val
