loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,model
1.9604166746139526,0.28923332691192627,1.84429132938385,0.3443000018596649,Mini-Batch SGD
1.78445303440094,0.3656333386898041,1.7468856573104858,0.3765000104904175,Mini-Batch SGD
1.7103047370910645,0.3935999870300293,1.7160831689834595,0.388700008392334,Mini-Batch SGD
1.655827283859253,0.413100004196167,1.7099223136901855,0.38179999589920044,Mini-Batch SGD
1.6177960634231567,0.42800000309944153,1.6850000619888306,0.3986999988555908,Mini-Batch SGD
1.583256483078003,0.44093334674835205,1.6763383150100708,0.40849998593330383,Mini-Batch SGD
1.549934983253479,0.45190000534057617,1.616304874420166,0.42570000886917114,Mini-Batch SGD
1.5293015241622925,0.4588666558265686,1.5767216682434082,0.4357999861240387,Mini-Batch SGD
1.503853678703308,0.46843332052230835,1.6315224170684814,0.4327000081539154,Mini-Batch SGD
1.4822499752044678,0.4772000014781952,1.5660685300827026,0.4359999895095825,Mini-Batch SGD
1.4621204137802124,0.4830000102519989,1.610729455947876,0.4352000057697296,Mini-Batch SGD
1.4423695802688599,0.49410000443458557,1.5572041273117065,0.4505999982357025,Mini-Batch SGD
1.4268519878387451,0.49720001220703125,1.5088649988174438,0.46709999442100525,Mini-Batch SGD
1.4074413776397705,0.5026666522026062,1.5183980464935303,0.4607999920845032,Mini-Batch SGD
1.3883652687072754,0.5091333389282227,1.5614691972732544,0.4458000063896179,Mini-Batch SGD
1.3762180805206299,0.5106333494186401,1.5135172605514526,0.4641000032424927,Mini-Batch SGD
1.3621193170547485,0.5170666575431824,1.492883563041687,0.47450000047683716,Mini-Batch SGD
1.3472175598144531,0.524733304977417,1.5130871534347534,0.46970000863075256,Mini-Batch SGD
1.3327081203460693,0.5288666486740112,1.5277827978134155,0.46149998903274536,Mini-Batch SGD
1.3185762166976929,0.5329333543777466,1.4691417217254639,0.47600001096725464,Mini-Batch SGD
1.3071361780166626,0.5388333201408386,1.5074819326400757,0.4706999957561493,Mini-Batch SGD
1.2923489809036255,0.5425333380699158,1.5459835529327393,0.4575999975204468,Mini-Batch SGD
1.2798566818237305,0.5453333258628845,1.6278513669967651,0.43939998745918274,Mini-Batch SGD
1.2704854011535645,0.5520666837692261,1.5132181644439697,0.46959999203681946,Mini-Batch SGD
1.260567545890808,0.5536666512489319,1.4809472560882568,0.4742000102996826,Mini-Batch SGD
1.2476352453231812,0.5559999942779541,1.484206199645996,0.4812999963760376,Mini-Batch SGD
1.2368732690811157,0.562666654586792,1.5020133256912231,0.4684999883174896,Mini-Batch SGD
1.2254847288131714,0.566266655921936,1.481947422027588,0.4848000109195709,Mini-Batch SGD
1.2158533334732056,0.5726666450500488,1.4594380855560303,0.4887000024318695,Mini-Batch SGD
1.2051348686218262,0.5746333599090576,1.590859055519104,0.4553000032901764,Mini-Batch SGD
1.1932679414749146,0.579800009727478,1.5068312883377075,0.48019999265670776,Mini-Batch SGD
1.1848417520523071,0.5814999938011169,1.4961438179016113,0.4805000126361847,Mini-Batch SGD
1.172642469406128,0.5842000246047974,1.4728580713272095,0.48969998955726624,Mini-Batch SGD
1.1647063493728638,0.5873666405677795,1.4785739183425903,0.48739999532699585,Mini-Batch SGD
1.155310869216919,0.5913333296775818,1.4833579063415527,0.48890000581741333,Mini-Batch SGD
1.1473159790039062,0.5965999960899353,1.530415654182434,0.47269999980926514,Mini-Batch SGD
1.1323449611663818,0.6006333231925964,1.5242538452148438,0.4683000147342682,Mini-Batch SGD
1.1262032985687256,0.603866696357727,1.5408360958099365,0.4715000092983246,Mini-Batch SGD
1.1176241636276245,0.6049000024795532,1.5091793537139893,0.4830999970436096,Mini-Batch SGD
1.1042064428329468,0.6115666627883911,1.5202879905700684,0.4702000021934509,Mini-Batch SGD
1.0987858772277832,0.6119999885559082,1.5825586318969727,0.47609999775886536,Mini-Batch SGD
1.0877912044525146,0.6133999824523926,1.5486003160476685,0.4830000102519989,Mini-Batch SGD
1.0803338289260864,0.6158666610717773,1.5162171125411987,0.48829999566078186,Mini-Batch SGD
1.0697917938232422,0.6206333041191101,1.6913543939590454,0.4514999985694885,Mini-Batch SGD
1.0650269985198975,0.624666690826416,1.5534676313400269,0.48750001192092896,Mini-Batch SGD
1.0518101453781128,0.6258000135421753,1.5420945882797241,0.4860999882221222,Mini-Batch SGD
1.0497057437896729,0.6273666620254517,1.6082402467727661,0.4722999930381775,Mini-Batch SGD
1.037304401397705,0.6345000267028809,1.581746220588684,0.4715000092983246,Mini-Batch SGD
1.032933235168457,0.6320000290870667,1.5862897634506226,0.47049999237060547,Mini-Batch SGD
1.0239135026931763,0.638866662979126,1.5069442987442017,0.49570000171661377,Mini-Batch SGD
1.966928482055664,0.29116666316986084,1.890432357788086,0.29750001430511475,Mini-Batch SGD + Early Stopping
1.8010154962539673,0.35813334584236145,1.9048014879226685,0.3172000050544739,Mini-Batch SGD + Early Stopping
1.720616102218628,0.38956665992736816,1.7613743543624878,0.3767000138759613,Mini-Batch SGD + Early Stopping
1.670251727104187,0.40853333473205566,1.746949553489685,0.38109999895095825,Mini-Batch SGD + Early Stopping
1.6267123222351074,0.42453333735466003,1.627553105354309,0.41940000653266907,Mini-Batch SGD + Early Stopping
1.5882432460784912,0.4396333396434784,1.635034441947937,0.4244000017642975,Mini-Batch SGD + Early Stopping
1.55878484249115,0.451200008392334,1.6494733095169067,0.4203000068664551,Mini-Batch SGD + Early Stopping
1.5296941995620728,0.46033334732055664,1.590527057647705,0.4325000047683716,Mini-Batch SGD + Early Stopping
