loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,model
2.32607364654541,0.085958331823349,2.319727897644043,0.08349999785423279,Batch Gradient Descent
2.3199527263641357,0.08835417032241821,2.3137130737304688,0.085916668176651,Batch Gradient Descent
2.3139514923095703,0.09070833027362823,2.3078036308288574,0.08841666579246521,Batch Gradient Descent
2.308058977127075,0.09316666424274445,2.302003860473633,0.09133332967758179,Batch Gradient Descent
2.3022708892822266,0.09706249833106995,2.2962894439697266,0.09441666305065155,Batch Gradient Descent
2.2965688705444336,0.10058332979679108,2.290658473968506,0.09724999964237213,Batch Gradient Descent
2.290951728820801,0.10391666740179062,2.2851080894470215,0.10083333402872086,Batch Gradient Descent
2.285412073135376,0.10787499696016312,2.279633045196533,0.10608333349227905,Batch Gradient Descent
2.2799463272094727,0.11152083426713943,2.2742366790771484,0.11150000244379044,Batch Gradient Descent
2.2745537757873535,0.11614583432674408,2.2688944339752197,0.11658333241939545,Batch Gradient Descent
2.2692184448242188,0.12075000256299973,2.263608932495117,0.1224166676402092,Batch Gradient Descent
2.263942003250122,0.12579166889190674,2.2583701610565186,0.12683333456516266,Batch Gradient Descent
2.258714437484741,0.13047917187213898,2.2531847953796387,0.1314166635274887,Batch Gradient Descent
2.2535383701324463,0.13574999570846558,2.24804425239563,0.13625000417232513,Batch Gradient Descent
2.2484071254730225,0.14091666042804718,2.2429473400115967,0.1430833339691162,Batch Gradient Descent
2.2433180809020996,0.14691667258739471,2.237886905670166,0.14891666173934937,Batch Gradient Descent
2.2382652759552,0.15166667103767395,2.232858180999756,0.1548333317041397,Batch Gradient Descent
2.2332494258880615,0.1575624942779541,2.2278623580932617,0.15966667234897614,Batch Gradient Descent
2.2282681465148926,0.16358333826065063,2.2229015827178955,0.164083331823349,Batch Gradient Descent
2.2233242988586426,0.1693750023841858,2.217972993850708,0.1706666648387909,Batch Gradient Descent
2.218414306640625,0.17539583146572113,2.2130775451660156,0.1770000010728836,Batch Gradient Descent
2.2135355472564697,0.18185417354106903,2.2082090377807617,0.18333333730697632,Batch Gradient Descent
2.2086808681488037,0.18833333253860474,2.203364610671997,0.1902499943971634,Batch Gradient Descent
2.203850507736206,0.19468750059604645,2.198547124862671,0.19616666436195374,Batch Gradient Descent
2.199040174484253,0.20100000500679016,2.1937544345855713,0.20233333110809326,Batch Gradient Descent
2.1942546367645264,0.2069583386182785,2.1889824867248535,0.20999999344348907,Batch Gradient Descent
2.1894912719726562,0.21268750727176666,2.1842288970947266,0.21708333492279053,Batch Gradient Descent
2.184744119644165,0.21952083706855774,2.1794872283935547,0.22241666913032532,Batch Gradient Descent
2.1800084114074707,0.226500004529953,2.174757242202759,0.2303333282470703,Batch Gradient Descent
2.1752843856811523,0.23272916674613953,2.1700451374053955,0.2369166612625122,Batch Gradient Descent
2.170574903488159,0.2394166737794876,2.1653459072113037,0.24449999630451202,Batch Gradient Descent
2.165875196456909,0.24587500095367432,2.160659074783325,0.2529999911785126,Batch Gradient Descent
2.161186456680298,0.2527708411216736,2.1559815406799316,0.2588333189487457,Batch Gradient Descent
2.156508207321167,0.2594166696071625,2.151308536529541,0.26649999618530273,Batch Gradient Descent
2.151836395263672,0.26616665720939636,2.146639585494995,0.27158331871032715,Batch Gradient Descent
2.1471686363220215,0.27250000834465027,2.1419737339019775,0.2775833308696747,Batch Gradient Descent
2.1425039768218994,0.27802082896232605,2.137314796447754,0.2838333249092102,Batch Gradient Descent
2.137845277786255,0.28445833921432495,2.1326615810394287,0.2906666696071625,Batch Gradient Descent
2.1331887245178223,0.2903958261013031,2.128009557723999,0.29766666889190674,Batch Gradient Descent
2.1285312175750732,0.29654166102409363,2.123353958129883,0.3036666810512543,Batch Gradient Descent
2.1238744258880615,0.3023541569709778,2.1186954975128174,0.30924999713897705,Batch Gradient Descent
2.119215726852417,0.3087500035762787,2.114032506942749,0.3149166703224182,Batch Gradient Descent
2.1145503520965576,0.31472915410995483,2.1093597412109375,0.31975001096725464,Batch Gradient Descent
2.1098766326904297,0.320270836353302,2.104680061340332,0.32591667771339417,Batch Gradient Descent
2.1051950454711914,0.32641667127609253,2.0999932289123535,0.3316666781902313,Batch Gradient Descent
2.100506544113159,0.33272916078567505,2.0952961444854736,0.3373333215713501,Batch Gradient Descent
2.095808744430542,0.33799999952316284,2.0905938148498535,0.34174999594688416,Batch Gradient Descent
2.0911033153533936,0.34277084469795227,2.085883855819702,0.3465000092983246,Batch Gradient Descent
2.086388349533081,0.34839582443237305,2.0811617374420166,0.351583331823349,Batch Gradient Descent
2.0816640853881836,0.3540416657924652,2.0764241218566895,0.3578333258628845,Batch Gradient Descent
0.9857169389724731,0.7436875104904175,0.48331454396247864,0.871749997138977,Mini Batch Gradient Descent
0.40010035037994385,0.8889166712760925,0.3682039678096771,0.8957499861717224,Mini Batch Gradient Descent
0.3277356028556824,0.906083345413208,0.32256147265434265,0.9082499742507935,Mini Batch Gradient Descent
0.2918742597103119,0.9154583215713501,0.2948276102542877,0.9144999980926514,Mini Batch Gradient Descent
0.2661401629447937,0.9228958487510681,0.2761105000972748,0.9193333387374878,Mini Batch Gradient Descent
0.24656955897808075,0.9294999837875366,0.26348593831062317,0.9242500066757202,Mini Batch Gradient Descent
0.22923658788204193,0.9350416660308838,0.2449071705341339,0.9287499785423279,Mini Batch Gradient Descent
0.21492913365364075,0.9396458268165588,0.23504646122455597,0.9326666593551636,Mini Batch Gradient Descent
0.20207776129245758,0.9426875114440918,0.22441734373569489,0.9353333115577698,Mini Batch Gradient Descent
